list name	name	label	cf	code	color
Consent	1	Yes			
Consent	2	No			
emailconsent	1	Yes			
emailconsent	2	No			
yesno	1	Yes			
yesno	2	No			
yesnodk	1	Yes			
yesnodk	2	No			
yesnodk	99	Don't know			
testvalid	1	Valid			
testvalid	2	Test			
gender	1	Male		1	Blue
gender	2	Female		0	Pink
region	somaliland	Somaliland			yellow
region	jubaland	Jubaland			blue
region	puntland	Puntland			red
region	southcentral	Southcentral			green
district	lascanood	Laascaanod	somaliland		
district	buhodle	Buhoodle	somaliland		
district	elafwayn	Ceel-afwayn	somaliland		
district	zaylac	Zaylac	somaliland		
district	berbera	Berbera	somaliland		
district	burao	Burao	somaliland		
district	galkayo	Galkayo	puntland		
district	lascanood2	Laascaanod	puntland		
district	badhan	Badhan	puntland		
district	bossaso	Bossaso	puntland		
district	garowe	Garowe	puntland		
district	luuq	Luuq	jubaland		
district	beledxawa	Beled-Xawa	jubaland		
district	dhobley	Dhobley	jubaland		
district	kismayo	Kismayo	jubaland		
district	dollow	Dollow	jubaland		
district	guricel	Guricel	southcentral		
district	baidoa	Baidoa	southcentral		
district	mogadishuipdsites	Mogadishu (IDP sites)	southcentral		
district	xudur	Xudur	southcentral		
district	adado	Adado	southcentral		
district	beledweyne	Beledweyne	southcentral		
district	jowhar	Jowhar	southcentral		
district	baraawe	Baraawe	southcentral		
district	hobyo	Hobyo	southcentral		
targetlocation	caashocado	Caashocaddo	zaylac		
targetlocation	ceelgaad	Ceelgaal	zaylac		
targetlocation	xariirrad	Xariirad	zaylac		
targetlocation	18my	18(May)	burao		
targetlocation	allaaminidp	Alla Amin IDP	burao		
targetlocation	guryasamoidp	Guryasamo IDP	burao		
targetlocation	xayiridp	Xayir IDP	burao		
targetlocation	mandhera	Mandheera	berbera		
targetlocation	idpsinsideberbera	IDPs inside Berbera	berbera		
targetlocation	gumays	Gumays	lascanood		
targetlocation	adhicadeeye	Adhicadeeye	lascanood		
targetlocation	idpsinsidelascanod	IDPs inside Lascanod	lascanood		
targetlocation	idp1	IDP1	buhodle		
targetlocation	idp2	IDP2	buhodle		
targetlocation	hostcomm	Host community	buhodle		
targetlocation	dararwayne	Dararwayne	elafwayn		
targetlocation	fadhigab	Fadhigaab	elafwayn		
targetlocation	garadag	Gar-adag	elafwayn		
targetlocation	laanle	Laanle	guricel		
targetlocation	hodale	Hodale	guricel		
targetlocation	ceelqorax	Ceel-Qorax	guricel		
targetlocation	balihood	Balihood	guricel		
targetlocation	davare	Dabare	guricel		
targetlocation	guricelidps	Inside IDPs in the town - Guriceel	guricel		
targetlocation	dayliine	Dayliine-IDPs	mogadishuipdsites		
targetlocation	kaxda	Kaxda-IDPs	mogadishuipdsites		
targetlocation	grasbareey	Garasbaarey-IDPs	mogadishuipdsites		
targetlocation	howlwadag	Howlwadag-Host	baidoa		
targetlocation	horseed1	Horseed-Host	baidoa		
targetlocation	wadajir	Wadajir-Host	baidoa		
targetlocation	isha	Isha-Host	baidoa		
targetlocation	berdale	Berdale-Host	baidoa		
targetlocation	hanano	Hanano2, & Barwaqo IDPs 	baidoa		
targetlocation	towfiiq	Towfiiq IDPs areas	baidoa		
targetlocation	suuqa	 Suuqa xoolaha IDPs 	baidoa		
targetlocation	adcidps	ADC IDPs 	baidoa		
targetlocation	hawlwadagidps	Howlwadag IDPs 	baidoa		
targetlocation	aliamxaar	Ali-amxaar/ Boodaan IDPs 	baidoa		
targetlocation	biyagadud	Biya-Gadud	adado		
targetlocation	docoleey	Docoleey	adado		
targetlocation	habasley	Habasley	adado		
targetlocation	lidoole	Iidoole	adado		
