variable_x	variable_y	variable_x2	variable_y2	description	xtitle	ytitle	xtitle2	ytitle2	legendtitle	title	graphtype	topic		max	min	
doing3months	CSI			Those who answered « Other » are particularly vulnerable according to CSI	In trying to meet all the needs of your household, what have you had to do in the past 3 months?	CSI index				CSI index per action to meet family needs	violin	CSI				
district	doing3months			They are particularly many in Adaado	District				In trying to meet all the needs of your household, what have you had to do in the past 3 months?	Action to meet family needs per district	bar	CSI				
FCS	CSI			CSI index and FCS categories are not correlated	FCS category	CSI index				CSI index distribution per FCS category	violin	CSI				
gender HHH	FCS			Women headed households are more likely to have a poor FCS	Gender of the head of the household				FCS category	FCS category per gender of the head of the household	bar	CSI				
incomeactivities 	FCS			Appart from people who do not have income and who are clearly more vulnerables, there is no big difference from one income generating activity to another.	Income generating activities within the last 30 days				FCS category	FCS category per income generating activities	bar	CSI				
livingduration	FCS			It seems that those who have been displaced recently have more difficulties.	How long have you  lived in this village/settlement/Location?				FCS category	FCS category according to how long people have lived in their settlement	bar	CSI				
payments	FCS			Hability to meet all the household needs does have much impact on the FCS	Can you pay for all your household needs (such as food, water, rent, transport, education and health) with the income made?				FCS category	FCS category according to ability to pay for all family needs	bar	CSI				
reasons 	FCS			Having access to enough water tends to improve the FCS	Why don't you  have enough access to water?				FCS category	FCS category per reason for not having access to water	bar	CSI				
region	CSI			CSI index is significantly higher in South Central and Jubaland	Region	CSI index				Distribution of CSI index per region	violin	CSI				
regularexpence1	CSI			Those for which Medicine and health is the largest expense are more vulnerable in regards to CSI	Thinking about all your regular household expenses, what is your largest expense?	CSI index				Distribution of CSI index per main expense	violin	CSI				
security_patrol	FCS			Security patrol seems to have a good impact on FCS	Are there any  law  enforcers / security personnel patrolling this area?				FCS category	FCS categories according to presence of security patrol	bar	CSI				
targetlocation	FCS			Some target location seem particularly vulnerable in regards to FCS	Target location				FSC category	FCS per target location	bar	CSI				add wordcloud with reasons
FCS	totalhhsize			the size of the household does not have much impact on the FCS	FCS category	Size of the household				Distribution of the size of the household per FCS category	violin	CSI				
